ID jeu PK;Titre du jeu;Année de sortie;Directeur du jeu;Nom franchise
100;Beyond Good and Evil;2003;Michel Ancel;Beyond Good and Evil
101;Evolution Worlds;2003;Inconnu;Evolution Worlds
102;Les Experts;2003;Inconnu;Les Experts
103;In memorian;2003;Eric Viennot;In memoriam
104;Alexandra Ledermann 4 : Aventures aux Haras ;2003;Inconnu;Alexandra ledermann
105;Lock On;2003;Inconnu;Lock On
106;Rayman 3: Hoodlum Havoc;2003;Inconnu;Rayman
107;Shadowbane;2003;Inconnu;Shadowbane
108;Warlords IV: Heroes of Etheria;2003;Steve Fawker;Warlords
109;Wil Rock;2003;Inconnu;Will Rock
110;XIII;2003;Julien Barès;XIII
111;Monster 4X4: Masters of Metal;2003;Inconnu;Monster 4X4
112;Prince of Persia: Les Sables du temps;2003;Kevin Guillemette;Prince of Persia
113;Tigre et Dragon;2003;Inconnu;Tigre et Dragon
114; Advance Guardian Heroes;2004;Masaki Ukyo;Guardian Heroes
115;Alexandra Ledermann 5: L'Héritage du haras;2004;Inconnu;Alexandra Ledermann
116;Alexandre;2004;Inconnu;Alexandre
117;Ape Escape: Pumped and Primed;2004;Inconnu;Ape Escape
118;Asphalt: Urban GT;2004;Inconnu;Asphalt
119;Chessmaster: 10ème édition;2004;Inconnu;Chessmaster
120;Far Cry;2004;Inconnu;Far Cry
121;In memorian: La Treizième Victime;2004;Eric Viennot;In memorian
122;Les Experts: Meurtres à Las Vegas;2004;Anthony E. Zuiker;Les Experts
123;Myst IV: Revelation;2004;Patrick Fortier;Myst
124;Pacific Fighters;2004;Inconnu;Pacific Fighters
125;Prince of Persia: L'Ame du guerrier;2004;Kevin Guillemette;Prince of Persia
126;Rocky Legends;2004;Inconnu;Rocky
127;Scrabble : Edition 2005;2004;Inconnu;Scrabble
128;Shérif fais-moi peur : le Retour de Générale Lee;2004;Inconnu;Shérif fais moi-peur
129;Sherlock Holmes : La Boucle D'argent;2004;Jalil Amr;Sherlock Holmes
130;Sprung;2004;Inconnu;Sprung
131;Star Wars Trilogy : Apprentice of the Force;2004;Annick Dumais;Star Wars
132;Tom Clancy's Ghost Recon 2;2004;Christian Allen;Tom Clancy Ghost Recon
133;Tom Clancy's Rainbow Six 3 : Raven Shield;2003;Inconnu;Tom Clancy Rainbow Six
134;Tom Clancy's Splinter Cell : Pandora Tomorrow;2004;Inconnu;Tom Clancy Splinter Cell
135;Uru: Ages Beyond Myst;2003;Rand Miller;Uru
136;187: Ride or Die;2005;Inconnu;187: Ride or Die
137;Alexandra Ledermann 6: L'école des Champions;2005;Inconnu;Alexandra Ledermann
138;America's Army;2002;Inconnu;America's Army
139;Brothers in Arms: Road to Hill 30;2005;Inconnu;Brothers in Arms
140;Brothers in Arms: Earned in Blood;2005;Inconnu;Brothers in Arms
141;Catz;2005;Inconnu;Petz
142;Cold Fear;2005;Inconnu;Cold Fear
143;Dogz;2005;Inconnu;Petz
144;Drakengard 2 ;2003;Inconnu;Drakengard 
145;Exit;2005;Inconnu;Exit
146;Far Cry Instincts;2005;Inconnu;Far Cry
147;Flow: Urban Dance Uprising;2005;Inconnu;Flow
148;Heroes of the Pacific;2005;Shane Collier;Heroes of the Pacific
149;Jeune Styliste 3: Star;2005;Inconnu;Jeune Styliste
150;King Kong;2005;Michel Ancel;King Kong
151;Les Experts: Miami;2004;Inconnu;Les Experts
152;Myst V : End of Ages;2005;Rand Miller;Myst
153;Lunar : Dragon Song;2005;Inconnu;Lunar
154;Onimusha 3 : Demon Siege;2005;Keiji Inafune;Onimusha
155;Playboy : The Mansion;2005;Inconnu;Playboy
156;Prince of Persia: Les Deux Royaumes;2005;Kevin Guillemette;Prince of Persia
157;Prince of Persia: Révélations;2005;Kevin Guillemette;Prince of Persia
158;Rayman: La Revanche es Hoodlums;2005;Inconnu;Rayman
159;Silent Hunter III;2005;Inconnu;Silent Hunter 
160;Star Wars Episode III: La Revanche Des Sith;2005;Inconnu;Star Wars
161;The Settlers V: L'Héritage Des Rois;2005;Inconnu;The Settlers
162;Tom Clancy's Rainbow Six: Lockdown;2005;Inconnu;Tom Clancy Rainbow Six
163;Tom Clancy's Splinter Cell: Chaos Theory;2005;Inconnu;Tom Clancy Splinter Cell
164;Tork: Prehistoric Punk;2005;Inconnu;Tork
165;Trollz: Hair Affair;2005;Inconnu;Trollz
166;Yohoho! Puzzle Pirates;2005;Inconnu;Yohoho! Puzzle Pirates
